           t           p         rho           h           s         gam           u          cp
   2.0000E+02  5.2867E-01  9.1740E-01 -9.9098E+01  6.6686E+00  1.3998E+00 -1.5672E+02  1.0088E+00
   2.9140E+02  5.2867E-01  6.2965E-01 -6.8242E+00  7.0485E+00  1.3987E+00 -9.0786E+01  1.0108E+00
   3.8280E+02  5.2867E-01  4.7931E-01  8.5839E+01  7.3251E+00  1.3948E+00 -2.4458E+01  1.0179E+00
   4.7420E+02  5.2867E-01  3.8692E-01  1.7944E+02  7.5443E+00  1.3877E+00  4.2811E+01  1.0314E+00
   5.6560E+02  5.2867E-01  3.2440E-01  2.7453E+02  7.7276E+00  1.3782E+00  1.1156E+02  1.0500E+00
   6.5700E+02  5.2867E-01  2.7927E-01  3.7148E+02  7.8865E+00  1.3678E+00  1.8218E+02  1.0716E+00
   7.4840E+02  5.2867E-01  2.4516E-01  4.7045E+02  8.0275E+00  1.3575E+00  2.5481E+02  1.0940E+00
   8.3980E+02  5.2867E-01  2.1848E-01  5.7144E+02  8.1548E+00  1.3482E+00  3.2947E+02  1.1156E+00
   9.3120E+02  5.2867E-01  1.9704E-01  6.7434E+02  8.2711E+00  1.3399E+00  4.0603E+02  1.1358E+00
   1.0226E+03  5.2867E-01  1.7942E-01  7.7903E+02  8.3783E+00  1.3325E+00  4.8439E+02  1.1548E+00
   1.1140E+03  5.2867E-01  1.6470E-01  8.8540E+02  8.4779E+00  1.3258E+00  5.6442E+02  1.1724E+00
   1.2054E+03  5.2867E-01  1.5221E-01  9.9331E+02  8.5710E+00  1.3199E+00  6.4600E+02  1.1888E+00
   2.0000E+02  5.7272E-01  9.9384E-01 -9.9098E+01  6.6455E+00  1.3998E+00 -1.5672E+02  1.0088E+00
   2.9140E+02  5.7272E-01  6.8212E-01 -6.8242E+00  7.0255E+00  1.3987E+00 -9.0786E+01  1.0108E+00
   3.8280E+02  5.7272E-01  5.1925E-01  8.5839E+01  7.3020E+00  1.3948E+00 -2.4458E+01  1.0179E+00
   4.7420E+02  5.7272E-01  4.1917E-01  1.7944E+02  7.5212E+00  1.3877E+00  4.2811E+01  1.0314E+00
   5.6560E+02  5.7272E-01  3.5143E-01  2.7453E+02  7.7046E+00  1.3782E+00  1.1156E+02  1.0500E+00
   6.5700E+02  5.7272E-01  3.0254E-01  3.7148E+02  7.8634E+00  1.3678E+00  1.8218E+02  1.0716E+00
   7.4840E+02  5.7272E-01  2.6559E-01  4.7045E+02  8.0044E+00  1.3575E+00  2.5481E+02  1.0940E+00
   8.3980E+02  5.7272E-01  2.3669E-01  5.7144E+02  8.1317E+00  1.3482E+00  3.2947E+02  1.1156E+00
   9.3120E+02  5.7272E-01  2.1345E-01  6.7434E+02  8.2480E+00  1.3399E+00  4.0603E+02  1.1358E+00
   1.0226E+03  5.7272E-01  1.9438E-01  7.7903E+02  8.3552E+00  1.3325E+00  4.8439E+02  1.1548E+00
   1.1140E+03  5.7272E-01  1.7843E-01  8.8540E+02  8.4549E+00  1.3258E+00  5.6442E+02  1.1724E+00
   1.2054E+03  5.7272E-01  1.6490E-01  9.9331E+02  8.5479E+00  1.3199E+00  6.4600E+02  1.1888E+00
   2.0000E+02  6.1677E-01  1.0703E+00 -9.9098E+01  6.6242E+00  1.3998E+00 -1.5672E+02  1.0088E+00
   2.9140E+02  6.1677E-01  7.3459E-01 -6.8242E+00  7.0041E+00  1.3987E+00 -9.0786E+01  1.0108E+00
   3.8280E+02  6.1677E-01  5.5919E-01  8.5839E+01  7.2807E+00  1.3948E+00 -2.4458E+01  1.0179E+00
   4.7420E+02  6.1677E-01  4.5141E-01  1.7944E+02  7.4999E+00  1.3877E+00  4.2811E+01  1.0314E+00
   5.6560E+02  6.1677E-01  3.7846E-01  2.7453E+02  7.6832E+00  1.3782E+00  1.1156E+02  1.0500E+00
   6.5700E+02  6.1677E-01  3.2581E-01  3.7148E+02  7.8421E+00  1.3678E+00  1.8218E+02  1.0716E+00
   7.4840E+02  6.1677E-01  2.8602E-01  4.7045E+02  7.9831E+00  1.3575E+00  2.5481E+02  1.0940E+00
   8.3980E+02  6.1677E-01  2.5489E-01  5.7144E+02  8.1104E+00  1.3482E+00  3.2947E+02  1.1156E+00
   9.3120E+02  6.1677E-01  2.2987E-01  6.7434E+02  8.2267E+00  1.3399E+00  4.0603E+02  1.1358E+00
   1.0226E+03  6.1677E-01  2.0933E-01  7.7903E+02  8.3339E+00  1.3325E+00  4.8439E+02  1.1548E+00
   1.1140E+03  6.1677E-01  1.9215E-01  8.8540E+02  8.4335E+00  1.3258E+00  5.6442E+02  1.1724E+00
   1.2054E+03  6.1677E-01  1.7758E-01  9.9331E+02  8.5266E+00  1.3199E+00  6.4600E+02  1.1888E+00
   2.0000E+02  6.6083E-01  1.1467E+00 -9.9098E+01  6.6043E+00  1.3998E+00 -1.5672E+02  1.0088E+00
   2.9140E+02  6.6083E-01  7.8706E-01 -6.8242E+00  6.9842E+00  1.3987E+00 -9.0786E+01  1.0108E+00
   3.8280E+02  6.6083E-01  5.9913E-01  8.5839E+01  7.2608E+00  1.3948E+00 -2.4458E+01  1.0179E+00
   4.7420E+02  6.6083E-01  4.8365E-01  1.7944E+02  7.4800E+00  1.3877E+00  4.2811E+01  1.0314E+00
   5.6560E+02  6.6083E-01  4.0550E-01  2.7453E+02  7.6633E+00  1.3782E+00  1.1156E+02  1.0500E+00
   6.5700E+02  6.6083E-01  3.4908E-01  3.7148E+02  7.8222E+00  1.3678E+00  1.8218E+02  1.0716E+00
   7.4840E+02  6.6083E-01  3.0645E-01  4.7045E+02  7.9632E+00  1.3575E+00  2.5481E+02  1.0940E+00
   8.3980E+02  6.6083E-01  2.7310E-01  5.7144E+02  8.0905E+00  1.3482E+00  3.2947E+02  1.1156E+00
   9.3120E+02  6.6083E-01  2.4629E-01  6.7434E+02  8.2068E+00  1.3399E+00  4.0603E+02  1.1358E+00
   1.0226E+03  6.6083E-01  2.2428E-01  7.7903E+02  8.3140E+00  1.3325E+00  4.8439E+02  1.1548E+00
   1.1140E+03  6.6083E-01  2.0588E-01  8.8540E+02  8.4136E+00  1.3258E+00  5.6442E+02  1.1724E+00
   1.2054E+03  6.6083E-01  1.9027E-01  9.9331E+02  8.5067E+00  1.3199E+00  6.4600E+02  1.1888E+00
   2.0000E+02  7.0488E-01  1.2232E+00 -9.9098E+01  6.5857E+00  1.3998E+00 -1.5672E+02  1.0088E+00
   2.9140E+02  7.0488E-01  8.3953E-01 -6.8242E+00  6.9656E+00  1.3987E+00 -9.0786E+01  1.0108E+00
   3.8280E+02  7.0488E-01  6.3908E-01  8.5839E+01  7.2422E+00  1.3948E+00 -2.4458E+01  1.0179E+00
   4.7420E+02  7.0488E-01  5.1590E-01  1.7944E+02  7.4614E+00  1.3877E+00  4.2811E+01  1.0314E+00
   5.6560E+02  7.0488E-01  4.3253E-01  2.7453E+02  7.6447E+00  1.3782E+00  1.1156E+02  1.0500E+00
   6.5700E+02  7.0488E-01  3.7236E-01  3.7148E+02  7.8036E+00  1.3678E+00  1.8218E+02  1.0716E+00
   7.4840E+02  7.0488E-01  3.2688E-01  4.7045E+02  7.9446E+00  1.3575E+00  2.5481E+02  1.0940E+00
   8.3980E+02  7.0488E-01  2.9131E-01  5.7144E+02  8.0719E+00  1.3482E+00  3.2947E+02  1.1156E+00
   9.3120E+02  7.0488E-01  2.6271E-01  6.7434E+02  8.1882E+00  1.3399E+00  4.0603E+02  1.1358E+00
   1.0226E+03  7.0488E-01  2.3923E-01  7.7903E+02  8.2954E+00  1.3325E+00  4.8439E+02  1.1548E+00
   1.1140E+03  7.0488E-01  2.1960E-01  8.8540E+02  8.3950E+00  1.3258E+00  5.6442E+02  1.1724E+00
   1.2054E+03  7.0488E-01  2.0295E-01  9.9331E+02  8.4881E+00  1.3199E+00  6.4600E+02  1.1889E+00
