Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,50,0,0,58,76.95039,4.306908,0,0,0,0,0,0,89.9999,89.9999,0,0
0.09999999,S,0.09999999,0.0841857,0,0.4739794,0,1693.61,49.13676,0.4884866,0,57.22713,76.95039,4.482559,1076.45598381052,1076.45598380878,0.0019349242823663,105.743300000171,105.7433,0.0001901722,89.9999,89.9999,5.252425,0.00000944798
0.2,S,0.2,0.1813063,0,0.4246266,0,1724.246,48.13271,2.028742,0,56.45427,76.95039,4.65821,1119.03087966339,1119.03087966159,0.00200923149326357,215.730600000348,215.7306,0.0003877514,89.9999,89.9999,21.29099,0.00003828286
0.3,S,0.3,0.2822177,0,0.4010197,0,1752.808,47.11114,4.638011,0,55.68141,76.95039,4.833861,1161.60754575155,1161.60754574952,0.00217046943969289,329.970553359513,329.970553358967,0.000600233938396823,89.99989,89.99989,49.11207,0.00008759763
0.3999999,S,0.3999999,0.3869423,0,0.3873377,0,1779.114,46.07328,8.41025,0,54.90854,76.95039,5.009511,1204.19085333391,1204.19085333178,0.00226700966690929,448.473691266116,448.473691265361,0.000822627113835937,89.99989,89.99989,88.59164,0.0001586612
0.4999998,S,0.4999998,0.495491,0,0.3778207,0,1803.261,45.02042,13.42867,0,54.13568,76.95039,5.185163,1246.72650898853,1246.7265089863,0.00236011254977298,571.235247891701,571.235247890728,0.00105447512940957,89.99989,89.99989,140.1558,0.0002524396
0.5999997,S,0.5999997,0.6078619,0,0.3733672,0,1825.108,43.95391,19.9289,0,53.36282,76.95039,5.360814,1288.93732726915,1288.93732726682,0.00245057137989707,698.232199789867,698.232199788665,0.00129548012317758,89.99989,89.99989,204.2294,0.0003698629
0.6999996,S,0.6999996,0.7240226,0,0.3779912,0,1844.487,42.87512,28.54897,0,52.58995,76.95039,5.536464,1330.18326553857,1330.18326553615,0.0025378695945959,829.401384951696,829.401384950256,0.00154536099154918,89.99989,89.99989,281.2329,0.000511833
0.7999995,S,0.7999995,0.8439105,0,0.3830788,0,1861.531,41.78544,39.18782,0,51.81709,76.95039,5.712115,1370.56631926722,1370.56631926471,0.00262257711357881,964.651284657192,964.651284655506,0.00180383341374768,89.99989,89.99989,371.5785,0.0006792229
0.8999994,S,0.8999994,0.9673568,0,0.4467025,0,1876.123,40.68634,59.82992,0,51.04422,76.75259,5.84281,1403.51231851342,1403.51231851084,0.00269260684293856,1103.70243513836,1103.70243513642,0.00207029043727118,89.99989,89.99989,475.6648,0.0008728724
0.9999993,S,0.9999993,1.093259,0,0.5288051,0,1888.062,39.57926,90.09679,0,50.27136,76.65643,5.996608,1428.54733481504,1428.5473348124,0.0027471286262093,1245.28290490587,1245.28290490367,0.00234227758966861,89.99989,89.99989,593.8019,0.001093457
1.099999,S,1.099999,1.222088,0,0.5068539,0,1897.568,38.46571,107.4177,0,49.49849,76.91759,6.231614,1464.21515241025,1464.21515240753,0.00282113281718814,1390.08483676421,1390.08483676174,0.00262103668712349,89.99989,89.99989,726.2647,0.001341561
1.199999,S,1.199999,1.35427,0,0.4862868,0,1904.496,37.34719,125.9165,0,48.72563,76.27542,6.261316,1498.98084176568,1498.98084176289,0.00289306284482025,1538.44285134808,1538.44285134533,0.00290715492306216,89.99989,89.99989,873.4043,0.001617912
1.299999,S,1.299999,1.489622,0,0.4753946,0,1908.705,36.22523,148.0953,0,47.95277,75.69482,6.305011,1530.34248594004,1530.34248593718,0.00295824060173653,1690.09641882146,1690.09641881843,0.00320010635246316,89.99989,89.99989,1035.564,0.001923221
1.399999,S,1.399999,1.627836,0,0.473022,0,1910.399,35.10138,174.8837,0,47.1799,75.14584,6.355896,1557.24384292059,1557.24384291767,0.00301468105507302,1844.65761340055,1844.65761339723,0.00349912670813236,89.99989,89.99989,1213.052,0.002258137
1.499999,S,1.499999,1.768458,0,0.479583,0,1909.496,33.97716,207.8551,0,46.40704,74.61529,6.410966,1577.60332773035,1577.60332772739,0.00305843132855202,2001.56377693436,2001.56377693075,0.00380312106758819,89.99989,89.99989,1406.131,0.002623214
1.599999,S,1.599999,1.910834,0,0.4956777,0,1905.862,32.85411,248.9749,0,45.63417,74.09688,6.468796,1588.61318006794,1588.61318006495,0.0030841317091432,2160.01869261714,2160.01869261323,0.00411054946530668,89.99989,89.99989,1614.994,0.003018877
1.699999,S,1.699999,2.054325,0,0.4919849,0,1899.715,31.73378,283.3614,0,44.86131,73.57084,6.524893,1604.60717291307,1604.60717291004,0.00311905939875396,2319.42101284347,2319.42101283926,0.00442024058155444,89.99989,89.99989,1839.749,0.003445385
