Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,50,0,0,58,76.95039,4.306908,0,0,0,0,0,0,89.9999,89.9999,0,0
0.09999999,S,0.09999999,0.010,0,0.6591923,0,52.90414,49.99045,0,0,57.832,76.95039,4.345088,1.8752610236517,1.87526102271007,0.0000594271676963528,0.0187526100094163,0.01875261,0.0000005942716,89.9999,89.9999,0.00009376305,0.000000002971358
0.2,S,0.2,0.010,0,0.6591926,0,99.45854,49.95742,0.0001779819,0,57.66401,76.95039,4.383269,31.8800169318468,31.8800169316508,0.000111795347879514,1.85602200002389,1.856022,0.000009416334,89.9999,89.9999,0.06907654,0.0000004602944
0.3,S,0.3,0.010,0,0.6591943,0,146.0138,49.90079,0.00278271,0,57.49601,76.95039,4.42145,61.9679412270576,61.9679412268398,0.000164308677612272,6.69800900004116,6.698009,0.00002348262,89.9999,89.9999,0.4719517,0.000002061912
0.3999999,S,0.3999999,0.01208406,0,0.6351051,0,192.5709,49.82058,0.01348747,0,57.32802,76.95039,4.459631,92.179061597913,92.1790615976575,0.000217037031284924,14.555220000063,14.55522,0.00004281149,89.9999,89.9999,1.509684,0.000005333107
0.4999998,S,0.4999998,0.02160779,0,0.5691753,0,289.0207,49.71614,0.03864542,0,57.16002,76.95039,4.497812,154.841918211981,154.841918211637,0.000326404340673037,25.9265200000899,25.92652,0.00006827356,89.9999,89.9999,3.488526,0.00001080839
0.5999997,S,0.5999997,0.04301604,0,0.5042254,0,585.0372,49.51289,0.1356642,0,56.99203,76.95039,4.535993,347.901190587028,347.901190586396,0.000663356326723044,52.0095200001371,52.00952,0.0001194124,89.9999,89.9999,7.22598,0.00001991457
0.6999996,S,0.6999996,0.08165386,0,0.4540329,0,881.0641,49.15965,0.4400662,0,56.82403,76.95039,4.574173,544.176785456944,544.176785456014,0.00100592185724465,97.5611400002144,97.56114,0.0002045303,89.9999,89.9999,14.54244,0.00003582883
0.7999995,S,0.7999995,0.1378785,0,0.4189903,0,1177.108,48.65639,1.157418,0,56.65604,76.95039,4.612354,745.391337844761,745.391337843046,0.00159879498153288,162.997622085408,162.997622085063,0.00033548712866371,89.99988,89.99988,27.58035,0.00006225179
0.8999994,S,0.8999994,0.2122081,0,0.3935604,0,1473.175,48.00313,2.57354,0,56.48804,76.95039,4.650535,953.430530880319,953.430530878094,0.00205993324072999,248.91468269924,248.914682698696,0.000520580592760719,89.99988,89.99988,48.43362,0.000104674
0.9999993,S,0.9999993,0.3052011,0,0.3753561,0,1723.862,47.20044,5.071903,0,56.32005,76.95039,4.688715,1139.32345076152,1139.32345075883,0.00247556186954117,355.639273001005,355.63927300021,0.000751870541779012,89.99988,89.99988,79.03501,0.0001679397
1.099999,S,1.099999,0.40895,0,0.3630037,0,1792.936,46.3162,8.794241,0,56.15205,76.95039,4.726896,1207.04267339048,1207.04267338759,0.00263953734084007,473.274183425836,473.274183424762,0.00100842689480633,89.99988,89.99988,121.0129,0.0002558193
1.199999,S,1.199999,0.5188636,0,0.3541202,0,1862.047,45.39702,13.78523,0,55.98405,76.95039,4.765077,1277.52745623138,1277.5274562283,0.00280677225932404,597.831531677478,597.831531676104,0.00128154446817304,89.99988,89.99988,175.1327,0.0003701797
1.299999,S,1.299999,0.6352105,0,0.3495692,0,1931.198,44.4429,20.34903,0,55.81606,76.95039,4.803258,1350.89351177057,1350.89351176729,0.00297860791749275,729.594605757947,729.594605756254,0.00157162960470936,89.99988,89.99988,242.1021,0.0005126964
1.399999,S,1.399999,0.75827,0,0.3492601,0,2000.388,43.45383,28.89258,0,55.64806,76.95039,4.841439,1427.20460903209,1427.2046090286,0.00315578473499945,868.854864432909,868.854864430877,0.00187918522588153,89.99987,89.99987,322.6578,0.0006850908
1.499999,S,1.499999,0.8876866,0,0.3489116,0,2020.74,42.4338,39.42957,0,55.48007,76.95039,4.87962,1469.65351211115,1469.65351210754,0.00325880120128352,1014.81543095396,1014.81543095157,0.00220239973162727,89.99987,89.99987,417.5405,0.0008890946
1.599999,S,1.599999,1.018382,0,0.4435014,0,1992.251,41.41946,65.71699,0,55.31207,76.60274,4.838788,1463.68152393548,1463.68152393186,0.00325553041573092,1161.58225281559,1161.58225281284,0.00252839355738155,89.99987,89.99987,527.1005,0.00112564
1.699999,S,1.699999,1.148627,0,0.4609803,0,1963.805,40.41971,86.52655,0,55.14407,76.81133,4.924376,1461.36269657246,1461.36269656883,0.00325902263293186,1307.70396041431,1307.7039604112,0.00285388803537743,89.99987,89.99987,651.2958,0.001394748
1.799999,S,1.799999,1.279127,0,0.4365096,0,1935.402,39.43457,101.1235,0,54.97608,76.62766,4.920813,1463.54982150948,1463.54982150582,0.0032714537886925,1453.96419111484,1453.96419111136,0.00318048844437872,89.99987,89.99987,790.1086,0.001696456
1.899999,S,1.899999,1.409945,0,0.4208947,0,1907.042,38.46404,117.842,0,54.80808,76.02984,4.823126,1463.53372030775,1463.53372030408,0.00327835394325014,1600.34073654444,1600.3407365406,0.00350806791169356,89.99987,89.99987,943.556,0.002030878
1.999998,S,1.999998,1.540567,0,0.4136541,0,1840.586,37.50939,137.4614,0,54.64009,75.48844,4.738262,1427.72981338456,1427.72981338096,0.00320606305842879,1745.89969459841,1745.8996945942,0.00383451213135074,89.99987,89.99987,1111.624,0.002398063
2.099998,S,2.099998,1.663885,0,0.4139825,0,1685.176,36.61316,159.4567,0,54.47209,75.00763,4.667167,1307.58703293805,1307.58703293473,0.00294745784452673,1882.15118153596,1882.1511815314,0.00414109609901207,89.99987,89.99987,1293.807,0.002797057
2.199998,S,2.199998,1.776318,0,0.4203675,0,1529.802,35.79595,183.2752,0,54.3041,74.58625,4.60958,1177.14318681634,1177.14318681332,0.00266489799483606,2005.81843820946,2005.81843820459,0.00442049407768986,89.99987,89.99987,1488.932,0.003225371
2.299998,S,2.299998,1.876958,0,0.4311148,0,1374.459,35.05778,208.3324,0,54.1361,74.21889,4.56427,1037.09735009809,1037.0973500954,0.00235997333644752,2115.90499480331,2115.90499479816,0.00467038757197007,89.99987,89.99987,1695.685,0.003680167
